,Gender,Age,Education Background,Location where you live?,SingleOrMarried,How many people do you live with excluding yourself?,"If married, how many kids do you have?",Do you have any kids below 5 years old?,Are you currently employed?,How many hours on average do you work at your job?,On a scale of 1-10 how demanding is your job?,On a scale 1 to 10 how social are you?,How many times do you go out for social activities during the week?,What do you wish to ultimately accomplish when starting an online course? Check all that apply.,How many online MOOC classes have you registered for so far?,AVG Class registered,Out of the MOOC classes that you have registered for how many of them have you completed?,Avg Class Completed,Completion Percent, Out of the MOOC classes that you have registered for how many of them have you dropped?,Avg Class Dropped,Drop Percent,What pushed you to complete the courses? Check all that apply.,How much of the online content do you watch or read for the courses that you completed?,How much of the online content do you watch or read for the courses that you dropped?,Select a reason below as to why an online course was not completed/dropped? Check all that apply.,How many exercises\assessments did you complete for the courses that you completed?,How many exercises\assessments did you complete for the courses that you dropped?,"For the completed courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum Visit for Completed Class,"For the dropped courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum visit for dropped classes,Do you value student interaction as an important learning component for MOOC courses?,Do you think MOOC classes provide an opportunity to learn from other students?,"If yes to above question, do you value that opportunity?","Have you stayed in touch with any students that you met in forum discussions after the class is over?If yes, whats the average number of students? ","Have you stayed in touch with any students that you worked together in a class (project team mates) after the class is over? If yes, whats the average number of students?",Do you value MOOC classes to be up to date with developments in the related course field?,"Do you value a MOOC instructor's ability to provide timely and helpful feedback on assignments, exams or projects?",Student courses completion is dependent upon instructor/TA ability to help individual learn the course material?,Student courses completion is dependent upon the instructor/TA's contribution to the discussion forums?,Student courses completion is dependent upon how interesting and simulating the course assignments are?,Do you feel that group work can contribute significantly to completing or dropping MOOC courses?,Please provide any feedback to help us better this survey.
0,Male,25 to 34,Undregraduate,Suburban,Single,<=5,0,No,Yes,40,6,4,2,"New Job, Gain a degree",6-10,8,6-10,8,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",All,,,100,,5-10,7.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,None
1,Male,25 to 34,Graduate,Urban/City,Single,1,0,No,No,<40,1,1,0,"New Job, Gain a degree",11-15,13,1-5,3,23.07692308,6-10,8,61.53846154,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",Some,25,"Rejection (unsolved assignment problems), Loneliness, Depression",75,75,1-5,2.5,1-5,2.5,No,Yes,Yes,0-5,0-5,No,No,Strongly disagree,Strongly disagree,Strongly Agree,Agree,There's a few questions in the beginning that didn't apply to me but there was no NA option
2,Male,25 to 34,Graduate,Urban/City,Single,2,2,No,Yes,>40 but <=45,8,8,2,"Gain a degree, Knowledge",11-15,13,6-10,8,61.53846154,1-5,3,23.07692308,"I knew what was expected of me at all times, I enjoy taking online courses",All,25,Time,100,25,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Agree,Agree,"Change the question ""If married, how many children do you have?"" You can have kids without being married. Many of the questions about valuing certain things were Yes/No, but you may get more value by asking about which is more/most important."
3,Female,25 to 34,PHD,Country,Married,<=5,1,Yes,Yes,40,7,5,1,"New Job, Knowledge",1-5,3,1-5,3,100,1-5,3,100,I knew what was expected of me at all times,Most,25,Time,75,25,1-5,2.5,0,0,Yes,No,,0-5,0-5,Yes,No,Agree,Agree,Agree,Agree,Good survey. The only problem is that some participants may not actually take any MOOCs courses. How can they answer those questions?
4,Male,35 to 44,Undregraduate,Suburban,Married,<=5,2,Yes,Yes,>45 but <=50,7,5,1,Knowledge,20+,20,20+,20,100,1-5,3,15,The structure of the learning modules were well prepared and organized,Most,50,Time,75,25,1-5,2.5,1-5,2.5,Yes,Yes,Yes,No,No,Yes,Yes,Agree,Neutral,Strongly Agree,Agree,"Have ""No"" option for some of the questions which ask Yes/No questions"
5,Male,25 to 34,Undregraduate,Urban/City,Single,0,,No,Yes,<40,7,8,5+,Gain a degree,1-5,3,1-5,3,100,1-5,3,100,The prospect of getting a degree,Most,25,"Time, Motivation",100,25,1-5,2.5,0,0,No,Yes,No,No,No,Yes,Yes,Agree,Agree,Agree,Disagree,"Some of the questions don't align with the answers. For example, Do you stay in touch with your friends is a Yes or No Question, but then there's hours (I know this was the second part of the survey). I also did not understand the questions with responses of the <= first quarter. I guessed based on it was a time frame of assignments completed."
6,Male,25 to 34,Graduate,Country,Married,2,1,Yes,No,40,,7,2,Knowledge,11-15,13,6-10,8,61.53846154,6-10,8,61.53846154,I knew what was expected of me at all times,Some,50,Depression,75,100,5-10,7.5,5-10,7.5,No,No,No,5-10,10-20,No,Yes,Strongly disagree,Neutral,Disagree,Disagree,afdsaaaaaaaaaa
7,Male,35 to 44,Undregraduate,Suburban,Married,<=5,3,No,Yes,>45 but <=50,8,8,<=5,"Gain a degree, Knowledge",11-15,13,11-15,13,100,0,0,0,"I knew what was expected of me at all times, I enjoy taking online courses, Personal Motivation",All,,Time,,,5-10,7.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Agree,Strongly Agree,Agree,Very good survey!
8,Male,25 to 34,Undregraduate,Urban/City,Married,1,0,No,Yes,40,8,10,5+,"Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,Projects/assignments were clearly defined,Around Half,50,Time,100,25,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,
9,Female,25 to 34,Undregraduate,Suburban,Married,1,0,No,Yes,40,6,8,2,"Gain a degree, Knowledge",11-15,13,6-10,8,61.53846154,1-5,3,23.07692308,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses, Paid a lot of money for it",Most,25,"Time, Got distracted by other things",100,25,1-5,2.5,0,0,No,Yes,Not sure,0-5,0-5,Yes,No,Neutral,Neutral,Strongly Agree,Strongly Agree,"The title of the survey is your instructions, you can easily add text separately. Some of the questions were strange because you ask the number of students you keep in touch with if you do and have the first option include 0, so if I keep in touch with 2 students, you might interpret that as that I don't keep in touch with any students."
10,Male,25 to 34,Graduate,Urban/City,Single,<=5,,No,Yes,>40 but <=45,7,6,1,"New Job, Gain a degree, Knowledge",1-5,3,0,0,0,0,0,0,,,,,,,,,,,,,,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Agree,na
11,Male,25 to 34,PHD,Suburban,Married,2,1,Yes,Yes,<40,8,6,2,Gain a degree,6-10,8,11-15,13,162.5,6-10,8,100,Projects/assignments were clearly defined,Most,50,Loneliness,25,75,5-10,7.5,5-10,7.5,Yes,Yes,Yes,10-20,5-10,Yes,Yes,Neutral,Agree,Agree,Agree,It's a good survey
12,Male,25 to 34,Undregraduate,Urban/City,Married,2,1,Yes,Yes,>40 but <=45,7,6,1,Gain a degree,6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",Around Half,75,"Time, Rejection (unsolved assignment problems)",100,50,1-5,2.5,1-5,2.5,No,Yes,No,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,"MOOCs like Coursera are really different than OMSCS, might want to distinguish between the 2"
13,Male,25 to 34,Undregraduate,Urban/City,Single,0,,No,Yes,40,6,5,<=5,"Knowledge, Practical skills",20+,20,20+,20,100,6-10,8,40,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",Most,75,"Time, Too hard or too easy",75,25,1-5,2.5,1-5,2.5,No,Yes,Yes,0-5,0-5,Yes,No,Disagree,Disagree,Neutral,Neutral,It is good!
14,Male,35 to 44,Undregraduate,Suburban,Single,0,,No,Yes,>45 but <=50,9,5,2,"Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,,Most,75,Time,100,50,0,0,0,0,No,Yes,Yes,0-5,0-5,Yes,No,Agree,Disagree,Agree,Strongly Agree,"For the last question I do not understand which option equates to ""group work contributes to dropping MOOC courses."""
15,Male,25 to 34,Graduate,Suburban,Married,<=5,2,No,Yes,40,7,7,1,Gain a degree,0,0,0,0,,0,0,,,,,,,,,,,,No,Yes,No,,,Yes,Yes,Neutral,Neutral,Neutral,Agree,Sorry I couldn't help much. I haven't taken any MOOC courses. I tried to respond with things that I value though.
