,ContentReadWatchedCompletedCourse,AssignmentCompletedForCompletedCourse,AvgClassRegistered,AvgClassCompleted,AvgClassDropped,CompletionPercent,DropPercent
0,All,,8,8,0,100.0,0.0
1,Some,,13,3,8,23.07692308,61.53846154
2,All,,13,8,3,61.53846154,23.07692308
3,Most,,3,3,3,100.0,100.0
4,Most,,20,20,3,100.0,15.0
5,Most,,3,3,3,100.0,100.0
6,Some,,13,8,8,61.53846154,61.53846154
7,All,,13,13,0,100.0,0.0
8,Around Half,,3,3,3,100.0,100.0
9,Most,,13,8,3,61.53846154,23.07692308
10,,,3,0,0,0.0,0.0
12,Around Half,,8,8,3,100.0,37.5
13,Most,,20,20,8,100.0,40.0
14,Most,,3,3,3,100.0,100.0
15,,,0,0,0,,
16,All,,18,3,3,16.66666667,16.66666667
17,All,,3,3,3,100.0,100.0
18,Most,,8,8,3,100.0,37.5
19,Most,,3,3,0,100.0,0.0
20,Around Half,,8,3,3,37.5,37.5
21,All,,20,13,18,65.0,90.0
22,Most,,3,3,3,100.0,100.0
23,Most,,3,3,3,100.0,100.0
24,Most,,3,3,3,100.0,100.0
25,All,,18,13,3,72.22222222,16.66666667
26,,,3,0,3,0.0,100.0
27,Most,,13,13,3,100.0,23.07692308
28,Around Half,,8,8,0,100.0,0.0
29,Most,,3,3,0,100.0,0.0
30,Most,,8,8,0,100.0,0.0
31,Most,,13,8,8,61.53846154,61.53846154
32,All,,20,20,3,100.0,15.0
33,,,8,0,8,0.0,100.0
34,,,0,0,0,,
35,Most,,8,8,3,100.0,37.5
36,All,,13,13,0,100.0,0.0
37,All,,8,8,0,100.0,0.0
38,Most,,3,3,0,100.0,0.0
39,,,13,3,0,23.07692308,0.0
40,All,,3,3,0,100.0,0.0
41,Most,,3,3,3,100.0,100.0
42,All,,8,8,3,100.0,37.5
43,All,,8,8,0,100.0,0.0
44,Most,,8,3,3,37.5,37.5
45,All,,3,3,3,100.0,100.0
46,Some,,8,3,3,37.5,37.5
47,Most,,8,3,3,37.5,37.5
48,Around Half,,13,3,8,23.07692308,61.53846154
50,Most,,3,3,3,100.0,100.0
51,All,,8,3,3,37.5,37.5
52,All,,18,13,3,72.22222222,16.66666667
53,Most,,8,3,3,37.5,37.5
54,All,,3,3,0,100.0,0.0
55,Some,,8,0,8,0.0,100.0
56,Most,,13,8,3,61.53846154,23.07692308
57,Most,,13,13,3,100.0,23.07692308
58,All,,3,3,3,100.0,100.0
59,Around Half,,8,8,3,100.0,37.5
60,Around Half,,8,8,8,100.0,100.0
61,Most,,3,3,3,100.0,100.0
62,,,0,0,0,,
63,All,,3,3,0,100.0,0.0
64,Some,,3,0,3,0.0,100.0
65,All,,20,3,8,15.0,40.0
66,All,,8,8,3,100.0,37.5
67,Around Half,,3,3,0,100.0,0.0
68,Most,,20,13,13,65.0,65.0
69,All,,8,8,3,100.0,37.5
70,All,,20,20,3,100.0,15.0
71,Most,,8,3,3,37.5,37.5
72,Some,,3,3,0,100.0,0.0
73,Most,,3,3,0,100.0,0.0
74,Most,,8,8,3,100.0,37.5
75,Around Half,,3,3,3,100.0,100.0
76,Most,,18,13,3,72.22222222,16.66666667
77,All,,3,3,0,100.0,0.0
78,,,0,0,0,,
79,Most,,8,8,0,100.0,0.0
80,None,,3,13,8,433.3333333,266.6666667
81,Most,,8,8,3,100.0,37.5
82,Around Half,,8,3,3,37.5,37.5
83,Around Half,,8,8,0,100.0,0.0
84,All,,3,3,3,100.0,100.0
85,All,,3,3,3,100.0,100.0
86,All,,3,3,3,100.0,100.0
87,All,,8,3,3,37.5,37.5
88,All,,0,0,0,,
89,Most,,8,8,3,100.0,37.5
90,All,,8,8,0,100.0,0.0
91,Most,,8,3,3,37.5,37.5
92,All,,3,0,3,0.0,100.0
93,All,,3,3,0,100.0,0.0
94,Most,,8,8,0,100.0,0.0
95,Most,,13,13,0,100.0,0.0
96,Most,,8,8,3,100.0,37.5
97,Most,,8,8,3,100.0,37.5
99,Most,,13,13,3,100.0,23.07692308
100,All,,8,3,3,37.5,37.5
101,Around Half,,18,13,13,72.22222222,72.22222222
102,All,,8,8,0,100.0,0.0
103,Around Half,,8,8,13,100.0,162.5
